Linux 5.4.0-100-generic (node-0.vhive-test.ut-osa-pg0.wisc.cloudlab.us) 	02/14/2023 	_x86_64_	(40 CPU)

01:30:01 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:34:58 PM 20001     16283   1987.00      0.00 6810356  781928   0.40  python3
01:34:59 PM 20001     16283    625.00      0.00 6810356  781928   0.40  python3
01:35:00 PM 20001     16283   2579.00      0.00 6810356  781928   0.40  python3
01:35:01 PM 20001     16283   1382.00      0.00 6810356  781928   0.40  python3
01:35:02 PM 20001     16283  84934.00      0.00 26362332  782840   0.40  python3
01:35:03 PM 20001     16283  17589.00      0.00 26365720  786136   0.40  python3
01:35:04 PM 20001     16283    765.00      0.00 26368120  788608   0.40  python3
01:35:05 PM 20001     16283    910.00      0.00 26371536  791860   0.40  python3
01:35:06 PM 20001     16283   4051.00      0.00 26371592  792172   0.40  python3
01:35:07 PM 20001     16283   5426.00      0.00 26371636  804708   0.41  python3
01:35:08 PM 20001     16283   4335.00      0.00 26371636  821960   0.42  python3
01:35:09 PM 20001     16283   4329.00      0.00 26371636  839476   0.43  python3
01:35:10 PM 20001     16283   4309.00      0.00 26371636  856984   0.44  python3
01:35:11 PM 20001     16283   4283.00      0.00 26371636  874552   0.44  python3
01:35:12 PM 20001     16283   4368.00      0.00 26371636  891940   0.45  python3
01:35:13 PM 20001     16283   4478.00      0.00 26371636  909344   0.46  python3
01:35:14 PM 20001     16283   4471.00      0.00 26371636  926692   0.47  python3
01:35:15 PM 20001     16283   4380.00      0.00 26371636  944048   0.48  python3
01:35:16 PM 20001     16283   4316.00      0.00 26371636  961672   0.49  python3
01:35:17 PM 20001     16283   4312.00      0.00 26371636  979108   0.50  python3
01:35:18 PM 20001     16283   4381.00      0.00 26371636  996428   0.51  python3
01:35:19 PM 20001     16283   4384.00      0.00 26371636 1014116   0.52  python3
01:35:20 PM 20001     16283   4486.00      0.00 26371636 1031564   0.52  python3
01:35:21 PM 20001     16283   4495.00      0.00 26371636 1049016   0.53  python3
01:35:22 PM 20001     16283   4638.00      0.00 26371636 1066220   0.54  python3
01:35:23 PM 20001     16283   4490.00      0.00 26371636 1083612   0.55  python3
01:35:24 PM 20001     16283   4405.00      0.00 26371636 1101120   0.56  python3
01:35:25 PM 20001     16283   4388.00      0.00 26371636 1118688   0.57  python3
01:35:26 PM 20001     16283   4397.00      0.00 26371636 1136000   0.58  python3
01:35:27 PM 20001     16283   4380.00      0.00 26371636 1153308   0.59  python3
01:35:28 PM 20001     16283   4410.00      0.00 26371636 1170816   0.60  python3
01:35:29 PM 20001     16283   4478.00      0.00 26371636 1188148   0.60  python3
01:35:30 PM 20001     16283   4459.00      0.00 26371636 1205724   0.61  python3
01:35:31 PM 20001     16283   4329.00      0.00 26371636 1223144   0.62  python3
01:35:32 PM 20001     16283   4282.00      0.00 26371636 1240628   0.63  python3
01:35:33 PM 20001     16283   4303.00      0.00 26371636 1258184   0.64  python3
01:35:34 PM 20001     16283   4345.00      0.00 26371636 1275740   0.65  python3
01:35:35 PM 20001     16283   4505.00      0.00 26371636 1293220   0.66  python3
01:35:36 PM 20001     16283   4432.00      0.00 26371636 1310860   0.67  python3
01:35:37 PM 20001     16283   4457.00      0.00 26371636 1328068   0.68  python3
01:35:38 PM 20001     16283   4448.00      0.00 26371636 1345656   0.68  python3
01:35:39 PM 20001     16283   4447.00      0.00 26371636 1363052   0.69  python3
01:35:40 PM 20001     16283   4587.00      0.00 26371636 1380364   0.70  python3
01:35:41 PM 20001     16283   4472.00      0.00 26371636 1397852   0.71  python3
01:35:42 PM 20001     16283   4428.00      0.00 26371636 1415484   0.72  python3
01:35:43 PM 20001     16283   4414.00      0.00 26371636 1433056   0.73  python3
01:35:44 PM 20001     16283   5027.00      0.00 26371636 1450780   0.74  python3
