Linux 5.4.0-100-generic (node-0.vhive-test.ut-osa-pg0.wisc.cloudlab.us) 	02/14/2023 	_x86_64_	(40 CPU)

03:59:15 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:04:18 PM 20001     18280  17900.00      0.00 35681940 28134040  14.30  python3
04:04:19 PM 20001     18280  18056.00      0.00 35715520 28178464  14.33  python3
04:04:20 PM 20001     18280  18294.00      0.00 35750232 28221916  14.35  python3
04:04:21 PM 20001     18280  25225.00      0.00 35799700 28280968  14.38  python3
04:04:22 PM 20001     18280  13388.00      0.00 35825812 28317732  14.40  python3
04:04:23 PM 20001     18280  13652.00      0.00 35853716 28359904  14.42  python3
04:04:24 PM 20001     18280  15163.00      0.00 35887280 28406156  14.44  python3
04:04:25 PM 20001     18280   9170.00      0.00 35896688 17881792   9.09  python3
04:04:26 PM 20001     18280    583.00      0.00 35896688 18909888   9.61  python3
04:04:27 PM 20001     18280    519.00      0.00 35896688 19958464  10.15  python3
04:04:28 PM 20001     18280   1677.00      0.00 35896688 21002944  10.68  python3
04:04:29 PM 20001     18280    538.00      0.00 35896688 22047424  11.21  python3
04:04:30 PM 20001     18280    521.00      0.00 35896688 23112384  11.75  python3
04:04:31 PM 20001     18280    521.00      0.00 35896688 24175296  12.29  python3
04:04:32 PM 20001     18280    520.00      0.00 35896688 25238208  12.83  python3
04:04:33 PM 20001     18280    779.00      0.00 35896688 26294976  13.37  python3
04:04:34 PM 20001     18280   1050.00      0.00 35896688 27355840  13.91  python3
04:04:35 PM 20001     18280   1541.00      0.00 35896688 28332736  14.40  python3
04:04:36 PM 20001     18280  34485.00      0.00 35922236 28456356  14.47  python3
04:04:37 PM 20001     18280  30090.00      0.00 35953960 28502364  14.49  python3
04:04:38 PM 20001     18280  30513.00      0.00 35987280 28547112  14.51  python3
04:04:39 PM 20001     18280  26679.00      0.00 36021340 28596372  14.54  python3
04:04:40 PM 20001     18280  25381.00      0.00 36056320 28643012  14.56  python3
04:04:41 PM 20001     18280  28163.00      0.00 36090264 28691944  14.59  python3
04:04:42 PM 20001     18280  24209.00      0.00 36124448 28736880  14.61  python3
04:04:43 PM 20001     18280  26717.00      0.00 36158532 28778504  14.63  python3
04:04:44 PM 20001     18280  23510.00      0.00 36192240 28821428  14.65  python3
04:04:45 PM 20001     18280  20999.00      0.00 36226496 28865956  14.68  python3
04:04:46 PM 20001     18280  23256.00      0.00 36261592 28913048  14.70  python3
04:04:47 PM 20001     18280  21957.00      0.00 36295128 28960444  14.72  python3
04:04:48 PM 20001     18280  24437.00      0.00 36329296 29004456  14.75  python3
04:04:49 PM 20001     18280  26112.00      0.00 36362480 29046740  14.77  python3
04:04:50 PM 20001     18280  22054.00      0.00 36396052 29090532  14.79  python3
