Linux 5.4.0-100-generic (node-0.vhive-test.ut-osa-pg0.wisc.cloudlab.us) 	02/15/2023 	_x86_64_	(40 CPU)

12:14:36 AM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:19:41 AM 20001     22776    534.00      0.00 34740496 22799504  11.59  python3
12:19:42 AM 20001     22776    524.00      0.00 34740496 23870608  12.14  python3
12:19:43 AM 20001     22776    521.00      0.00 34740496 24937616  12.68  python3
12:19:44 AM 20001     22776    521.00      0.00 34740496 26004624  13.22  python3
12:19:45 AM 20001     22776    860.00      0.00 34740496 27038864  13.75  python3
12:19:46 AM 20001     22776  27231.00      0.00 34765388 27190576  13.82  python3
12:19:47 AM 20001     22776  29400.00      0.00 34800904 27238888  13.85  python3
12:19:48 AM 20001     22776  24806.00      0.00 34836788 27292588  13.88  python3
12:19:49 AM 20001     22776  26168.00      0.00 34883844 27351500  13.91  python3
12:19:50 AM 20001     22776  22272.00      0.00 34912516 27396732  13.93  python3
12:19:51 AM 20001     22776  25588.00      0.00 34947684 27448824  13.96  python3
12:19:52 AM 20001     22776  24776.00      0.00 34984876 27502460  13.98  python3
12:19:53 AM 20001     22776  23999.00      0.00 35022300 27555200  14.01  python3
12:19:54 AM 20001     22776  22634.00      0.00 35058692 27604816  14.03  python3
12:19:55 AM 20001     22776  24931.00      0.00 35092916 27657440  14.06  python3
12:19:56 AM 20001     22776  23084.00      0.00 35128548 27706564  14.09  python3
12:19:57 AM 20001     22776  23014.00      0.00 35164728 27758348  14.11  python3
12:19:58 AM 20001     22776  21045.00      0.00 35201904 27805508  14.14  python3
12:19:59 AM 20001     22776  21363.00      0.00 35235744 27850032  14.16  python3
12:20:00 AM 20001     22776  20028.00      0.00 35270624 27898960  14.18  python3
12:20:01 AM 20001     22776  22338.00      0.00 35305468 27944752  14.21  python3
12:20:02 AM 20001     22776  18874.00      0.00 35340700 27990252  14.23  python3
12:20:03 AM 20001     22776  20090.00      0.00 35375020 28030916  14.25  python3
12:20:04 AM 20001     22776  20698.00      0.00 35409092 28075032  14.27  python3
12:20:05 AM 20001     22776  17752.00      0.00 35443152 28125692  14.30  python3
12:20:06 AM 20001     22776  16901.00      0.00 35476956 28171148  14.32  python3
12:20:07 AM 20001     22776  18283.00      0.00 35512052 28215872  14.35  python3
12:20:08 AM 20001     22776  22734.00      0.00 35544840 28260600  14.37  python3
12:20:09 AM 20001     22776  19016.00      0.00 35579436 28301424  14.39  python3
12:20:10 AM 20001     22776  21738.00      0.00 35612696 28344608  14.41  python3
12:20:11 AM 20001     22776  18684.00      0.00 35646372 28388664  14.43  python3
12:20:12 AM 20001     22776  17395.00      0.00 35679156 28433320  14.46  python3
12:20:13 AM 20001     22776  16892.00      0.00 35712816 28476632  14.48  python3
12:20:14 AM 20001     22776  17526.00      0.00 35746252 28522624  14.50  python3
12:20:15 AM 20001     22776  25618.00      0.00 35795072 28577360  14.53  python3
12:20:16 AM 20001     22776  17942.00      0.00 35821184 28611664  14.55  python3
12:20:17 AM 20001     22776  20584.00      0.00 35846272 28643852  14.56  python3
